condition,scene,CrossScore_Test,CrossScore_Test_sd,CrossScore_OBS,CrossScore_OBS_R,CrossScore_OBS_L,test_views
Clean,Duo,0.89659,0.02971,0.77823,0.73803,0.81843,105
Clean,Flat,0.86242,0.06594,0.82389,0.8456,0.80219,62
Clean,G2,0.8743,0.04277,0.82832,0.81228,0.84436,72
hole_54,Duo,0.72221,0.18116,0.78134,0.72965,0.83303,105
hole_54,Flat,0.7395,0.15271,0.82884,0.84835,0.80933,62
hole_54,G2,0.82161,0.10806,0.80194,0.79348,0.8104,72
hole_90,Duo,0.50803,0.2598,0.63135,0.58829,0.67442,105
hole_90,Flat,0.52293,0.22945,0.74452,0.73916,0.74988,62
hole_90,G2,0.5919,0.19052,0.82696,0.77323,0.88068,72
float_low8,Duo,0.88892,0.03152,0.76612,0.74232,0.78992,105
float_low8,Flat,0.85359,0.06785,0.79991,0.80208,0.79774,62
float_low8,G2,0.87179,0.04154,0.81765,0.80211,0.83318,72
float_mid8,Duo,0.89034,0.03217,0.77709,0.76058,0.7936,105
float_mid8,Flat,0.85126,0.06917,0.82915,0.84876,0.80954,62
float_mid8,G2,0.86792,0.04482,0.73558,0.71314,0.75802,72
float_high8,Duo,0.8875,0.03589,0.78323,0.74388,0.82257,105
float_high8,Flat,0.84911,0.06719,0.7899,0.77987,0.79992,62
float_high8,G2,0.86707,0.04458,0.78816,0.7612,0.81512,72
tablegeo_s1,Duo,0.88778,0.0321,0.77845,0.73972,0.81719,105
tablegeo_s1,Flat,0.85252,0.07133,0.81476,0.84529,0.78423,62
tablegeo_s1,G2,0.8723,0.04283,0.8394,0.834,0.8448,72
fov_center,Duo,0.68917,0.14921,0.58423,0.55843,0.61002,105
fov_center,Flat,0.672,0.1293,0.69712,0.7126,0.68165,62
fov_center,G2,0.79731,0.10301,0.80967,0.79217,0.82718,72
pinhole_adjacent_remove_30,Duo,0.60123,0.16369,0.53602,0.48983,0.5822,105
pinhole_adjacent_remove_30,Flat,0.56909,0.1246,0.61712,0.61265,0.62158,62
pinhole_adjacent_remove_30,G2,0.7025,0.14647,0.60667,0.56669,0.64666,72
pinhole_random_remove_30,Duo,0.64307,0.15339,0.55058,0.53347,0.56769,105
pinhole_random_remove_30,Flat,0.61543,0.1353,0.67651,0.68088,0.67214,62
pinhole_random_remove_30,G2,0.76478,0.11297,0.78442,0.76968,0.79917,72
