scene,variant,crossscore_obs,crossscore_obs_sd,obs_frames,source
Duo,Hole54,0.6970107014241972,0.16422558942004847,38,obs_fisheye_same_pose_20260916/full_composite
Duo,Hole90,0.6906855596523536,0.16499130210395052,38,obs_fisheye_same_pose_20260916/full_composite
Duo,CentralPinhole,0.65890681351486,0.16141902040315578,38,crossscore_obs_viewcount_20260917
Duo,Contiguous30,0.6576705861248469,0.1646951506144968,38,crossscore_obs_viewcount_20260917
Duo,Random30,0.6625130302027652,0.16522393137427216,38,obs_viewcount_random30_20260916
Flat,Hole54,0.7452986310971411,0.12598277402110303,19,obs_fisheye_same_pose_20260916/full_composite
Flat,Hole90,0.7122253806967485,0.1449514570716809,19,obs_fisheye_same_pose_20260916/full_composite
Flat,CentralPinhole,0.6831174202655491,0.13005032379383466,19,crossscore_obs_viewcount_20260917
Flat,Contiguous30,0.6600900841386694,0.13477006902321553,19,crossscore_obs_viewcount_20260917
Flat,Random30,0.680096591773786,0.1359146200051821,19,obs_viewcount_random30_20260916
G2,Hole54,0.7132751526016938,0.1447300426614123,38,obs_fisheye_same_pose_20260916/full_composite
G2,Hole90,0.6808660226432901,0.1389301134500108,38,obs_fisheye_same_pose_20260916/full_composite
G2,CentralPinhole,0.6953067673664344,0.1462849217710555,38,crossscore_obs_viewcount_20260917
G2,Contiguous30,0.5588089227676392,0.13095968098228475,38,crossscore_obs_viewcount_20260917
G2,Random30,0.6772817796782443,0.14470406732367844,38,obs_viewcount_random30_20260916
