condition,scene,n_policy_cells,mae_pp
Clean,Duo,6,36.875
Clean,Flat,6,15.208333333333334
Clean,G2,6,42.083333333333336
hole_54,Duo,6,43.541666666666664
hole_54,Flat,6,18.541666666666668
hole_54,G2,6,56.458333333333336
hole_90,Duo,6,48.333333333333336
hole_90,Flat,6,18.958333333333332
hole_90,G2,6,58.75
float_low8,Duo,6,43.333333333333336
float_low8,Flat,6,15.625
float_low8,G2,6,62.5
float_mid8,Duo,6,42.708333333333336
float_mid8,Flat,6,16.25
float_mid8,G2,6,57.916666666666664
float_high8,Duo,6,42.916666666666664
float_high8,Flat,6,15.0
float_high8,G2,6,55.833333333333336
tablegeo_s1,Duo,6,41.875
tablegeo_s1,Flat,6,14.375
tablegeo_s1,G2,6,58.125
fov_center,Duo,6,62.5
fov_center,Flat,6,24.375
fov_center,G2,6,67.08333333333333
pinhole_adjacent_remove_30,Duo,6,59.375
pinhole_adjacent_remove_30,Flat,6,22.708333333333332
pinhole_adjacent_remove_30,G2,6,63.958333333333336
pinhole_random_remove_30,Duo,6,60.625
pinhole_random_remove_30,Flat,6,21.25
pinhole_random_remove_30,G2,6,65.0
