condition,scene,views,PSNR,SSIM,LPIPS
Clean,Duo,216,18.55272885163625,0.737965286053993,0.22749128254751363
Clean,Flat,171,18.125888712922034,0.715704251451102,0.2300523590100439
Clean,G2,252,16.518735696399023,0.7184321395461521,0.2762997822451686
hole_54,Duo,216,13.898038471186602,0.5816992274657996,0.38676357127864053
hole_54,Flat,171,14.571640639277229,0.5935942346763889,0.3523060502538904
hole_54,G2,252,14.361906585239229,0.6417487694157494,0.3566215042143114
hole_90,Duo,216,9.631999179168984,0.3772443623311119,0.6146496649555586
hole_90,Flat,171,10.213178933015344,0.39373546465312276,0.5779462582186649
hole_90,G2,252,10.848780291421074,0.4881538602408938,0.5543025230604505
float_low8,Duo,216,18.331510799902457,0.7302143971125284,0.2416055545003878
float_low8,Flat,171,18.103468989768224,0.711454776469727,0.24009264247459278
float_low8,G2,252,16.34669264157613,0.7116943403841958,0.29114123265303316
float_mid8,Duo,216,18.396847243662233,0.731488859211957,0.24185983070896733
float_mid8,Flat,171,18.15841906251963,0.7130683792961968,0.23850002122378489
float_mid8,G2,252,16.393942265283492,0.712783896024265,0.291653439875633
float_high8,Duo,216,18.50135420869898,0.7327291072794685,0.2398011141491157
float_high8,Flat,171,18.157528230321336,0.7117237882655963,0.23958937976269695
float_high8,G2,252,16.384249501758152,0.7122595227426953,0.2898371082449716
tablegeo_s1,Duo,216,18.171769870652092,0.7185930884270756,0.23647847368071476
tablegeo_s1,Flat,171,17.78385211431492,0.700460090797547,0.23704648645300613
tablegeo_s1,G2,252,16.408123326680016,0.7077503398297325,0.28445524302503417
fov_center,Duo,216,15.464371208791379,0.5853808611907341,0.3360683152245151
fov_center,Flat,171,15.420219237344307,0.5473194819444801,0.35092331416774214
fov_center,G2,252,14.89564021049984,0.6377884634430446,0.34149931329819894
pinhole_adjacent_remove_30,Duo,216,14.911758648024666,0.527362217505773,0.38357693398440323
pinhole_adjacent_remove_30,Flat,171,14.7857811743753,0.476412678061173,0.40709205625350015
pinhole_adjacent_remove_30,G2,252,13.722475157843697,0.5492176917337236,0.40567977708720027
pinhole_random_remove_30,Duo,216,15.464218148478755,0.5781859667212875,0.3487507825786317
pinhole_random_remove_30,Flat,171,15.08185004630284,0.529216006398201,0.3717296021549325
pinhole_random_remove_30,G2,252,14.583876621155511,0.617009005494534,0.35376509701803566
