disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.1625,80,13
hole_54,sim,pi_2,0.95,80,76
hole_90,sim,pi_1,0.075,80,6
hole_90,sim,pi_2,0.85,80,68
float_low8,sim,pi_1,0.1875,80,15
float_low8,sim,pi_2,0.9125,80,73
float_mid8,sim,pi_1,0.2375,80,19
float_mid8,sim,pi_2,0.925,80,74
float_high8,sim,pi_1,0.225,80,18
float_high8,sim,pi_2,0.925,80,74
tablegeo_s1,sim,pi_1,0.275,80,22
tablegeo_s1,sim,pi_2,0.9375,80,75
fov_center,sim,pi_1,0.025,80,2
fov_center,sim,pi_2,0.075,80,6
pinhole_adjacent_remove_30,sim,pi_1,0.05,80,4
pinhole_adjacent_remove_30,sim,pi_2,0.1625,80,13
pinhole_random_remove_30,sim,pi_1,0.0375,80,3
pinhole_random_remove_30,sim,pi_2,0.05,80,4
