disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.1125,80,9
hole_54,sim,pi_2,0.0375,80,3
hole_90,sim,pi_1,0.0875,80,7
hole_90,sim,pi_2,0.05,80,4
float_low8,sim,pi_1,0.1375,80,11
float_low8,sim,pi_2,0.0375,80,3
float_mid8,sim,pi_1,0.1125,80,9
float_mid8,sim,pi_2,0.0375,80,3
float_high8,sim,pi_1,0.1125,80,9
float_high8,sim,pi_2,0.0375,80,3
tablegeo_s1,sim,pi_1,0.1125,80,9
tablegeo_s1,sim,pi_2,0.0375,80,3
fov_center,sim,pi_1,0.0625,80,5
fov_center,sim,pi_2,0.0,80,0
pinhole_adjacent_remove_30,sim,pi_1,0.05,80,4
pinhole_adjacent_remove_30,sim,pi_2,0.0,80,0
pinhole_random_remove_30,sim,pi_1,0.0875,80,7
pinhole_random_remove_30,sim,pi_2,0.0,80,0
