disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.3,80,24
hole_54,sim,pi_2,0.7625,80,61
hole_90,sim,pi_1,0.225,80,18
hole_90,sim,pi_2,0.5125,80,41
float_low8,sim,pi_1,0.35,80,28
float_low8,sim,pi_2,0.6375,80,51
float_mid8,sim,pi_1,0.375,80,30
float_mid8,sim,pi_2,0.7,80,56
float_high8,sim,pi_1,0.375,80,30
float_high8,sim,pi_2,0.625,80,50
tablegeo_s1,sim,pi_1,0.375,80,30
tablegeo_s1,sim,pi_2,0.5875,80,47
fov_center,sim,pi_1,0.025,80,2
fov_center,sim,pi_2,0.175,80,14
pinhole_adjacent_remove_30,sim,pi_1,0.025,80,2
pinhole_adjacent_remove_30,sim,pi_2,0.3,80,24
pinhole_random_remove_30,sim,pi_1,0.0125,80,1
pinhole_random_remove_30,sim,pi_2,0.275,80,22
