disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.125,80,10
hole_54,sim,pi_2,0.0,80,0
hole_90,sim,pi_1,0.0125,80,1
hole_90,sim,pi_2,0.0,80,0
float_low8,sim,pi_1,0.125,80,10
float_low8,sim,pi_2,0.0,80,0
float_mid8,sim,pi_1,0.125,80,10
float_mid8,sim,pi_2,0.0,80,0
float_high8,sim,pi_1,0.125,80,10
float_high8,sim,pi_2,0.0,80,0
tablegeo_s1,sim,pi_1,0.125,80,10
tablegeo_s1,sim,pi_2,0.0,80,0
fov_center,sim,pi_1,0.025,80,2
fov_center,sim,pi_2,0.0,80,0
pinhole_adjacent_remove_30,sim,pi_1,0.0125,80,1
pinhole_adjacent_remove_30,sim,pi_2,0.0,80,0
pinhole_random_remove_30,sim,pi_1,0.0625,80,5
pinhole_random_remove_30,sim,pi_2,0.0,80,0
