disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.425,80,34
hole_54,sim,pi_2,0.05,80,4
hole_90,sim,pi_1,0.35,80,28
hole_90,sim,pi_2,0.0625,80,5
float_low8,sim,pi_1,0.425,80,34
float_low8,sim,pi_2,0.05,80,4
float_mid8,sim,pi_1,0.425,80,34
float_mid8,sim,pi_2,0.05,80,4
float_high8,sim,pi_1,0.425,80,34
float_high8,sim,pi_2,0.05,80,4
tablegeo_s1,sim,pi_1,0.425,80,34
tablegeo_s1,sim,pi_2,0.05,80,4
fov_center,sim,pi_1,0.2625,80,21
fov_center,sim,pi_2,0.0,80,0
pinhole_adjacent_remove_30,sim,pi_1,0.25,80,20
pinhole_adjacent_remove_30,sim,pi_2,0.0,80,0
pinhole_random_remove_30,sim,pi_1,0.325,80,26
pinhole_random_remove_30,sim,pi_2,0.0,80,0
