disturbance,condition,success_rate,num_trials
hole_54,Real (pi_1),0.4,20
hole_54,Real (pi_2),0.8,20
hole_54,Sim (pi_1),0.1625,80
hole_54,Sim (pi_2),0.525,80
hole_90,Real (pi_1),0.4,20
hole_90,Real (pi_2),0.8,20
hole_90,Sim (pi_1),0.15,80
hole_90,Sim (pi_2),0.4625,80
float_low8,Real (pi_1),0.4,20
float_low8,Real (pi_2),0.8,20
float_low8,Sim (pi_1),0.1625,80
float_low8,Sim (pi_2),0.3125,80
float_mid8,Real (pi_1),0.4,20
float_mid8,Real (pi_2),0.8,20
float_mid8,Sim (pi_1),0.1125,80
float_mid8,Sim (pi_2),0.45,80
float_high8,Real (pi_1),0.4,20
float_high8,Real (pi_2),0.8,20
float_high8,Sim (pi_1),0.175,80
float_high8,Sim (pi_2),0.425,80
tablegeo_s1,Real (pi_1),0.4,20
tablegeo_s1,Real (pi_2),0.8,20
tablegeo_s1,Sim (pi_1),0.075,80
tablegeo_s1,Sim (pi_2),0.4875,80
fov_center,Real (pi_1),0.4,20
fov_center,Real (pi_2),0.8,20
fov_center,Sim (pi_1),0.1,80
fov_center,Sim (pi_2),0.15,80
pinhole_adjacent_remove_30,Real (pi_1),0.4,20
pinhole_adjacent_remove_30,Real (pi_2),0.8,20
pinhole_adjacent_remove_30,Sim (pi_1),0.175,80
pinhole_adjacent_remove_30,Sim (pi_2),0.125,80
pinhole_random_remove_30,Real (pi_1),0.4,20
pinhole_random_remove_30,Real (pi_2),0.8,20
pinhole_random_remove_30,Sim (pi_1),0.15,80
pinhole_random_remove_30,Sim (pi_2),0.075,80
