disturbance,domain,policy,success_rate,num_trials,successes
hole_54,sim,pi_1,0.1,80,8
hole_54,sim,pi_2,0.0,80,0
hole_90,sim,pi_1,0.05,80,4
hole_90,sim,pi_2,0.0125,80,1
float_low8,sim,pi_1,0.025,80,2
float_low8,sim,pi_2,0.0,80,0
float_mid8,sim,pi_1,0.075,80,6
float_mid8,sim,pi_2,0.0,80,0
float_high8,sim,pi_1,0.1125,80,9
float_high8,sim,pi_2,0.0,80,0
tablegeo_s1,sim,pi_1,0.0125,80,1
tablegeo_s1,sim,pi_2,0.0,80,0
fov_center,sim,pi_1,0.0125,80,1
fov_center,sim,pi_2,0.0,80,0
pinhole_adjacent_remove_30,sim,pi_1,0.1375,80,11
pinhole_adjacent_remove_30,sim,pi_2,0.0125,80,1
pinhole_random_remove_30,sim,pi_1,0.1,80,8
pinhole_random_remove_30,sim,pi_2,0.0,80,0
